Id,FirstName,LastName,Gpa,Age
1462,Martha,Ajambo,2.77,42
1511,Akol,Ajeni,1.42,45
1697,Proscovia,Ajet,3.31,45
2223,Jennifer,Ajidiru,1.02,27
585,Faustine,Ajoba,2.14,21
119,Muge,Ajogo,3.78,23
194,Phiona,Ajok,1.72,44
1047,Brenda,Ajore,1.62,43
261,Brenda,Ajwang,3.59,25
937,Charity,Ajwang,2.77,39
1836,Sarah,Ajwang,3.11,43
1781,Phoebe,Akado,3.05,21
1937,Edison,Akakisiima,3.95,24
3059,Brian,Akampurira,2.36,40
1003,Elisentius,Akampurira,1.28,42
1963,Furidah,Akampurira,3.66,43
847,Isaac,Akampurira,1.24,39
3161,Milia,Akampurira,1.72,25
1098,Mirriam,Akampurira,2.57,27
259,Paul,Akampurira,3.67,30
1401,Precious,Akampurira,1.64,34
1636,William,Akamumpa,3.94,39
53,Allan,Akandinanaho,1.53,32
2007,Innocent,Akandwanaho,2.14,42
1066,Jonan,Akandwanaho,1.4,30
1051,Maxchudrey,Akandwanaho,3.31,26
1539,Abednego,Akanjuna,3.35,45
498,Aggrey,Akankwasa,3.59,23
444,Edson,Akansasira,3.56,31
1736,Keneth,Akansasira,1.41,37
2227,Brendah,Akao,1.64,35
1147,Josephine,Akareut,2.93,33
1510,Alban,Akasingura,2.59,21
1489,Chrisostome,Akatorana,1.94,41
587,Winnfred,Akech,3.3,29
518,Gloria,Akello,3.39,42
200,Harriet,Akello,2.13,26
1932,Harriet,Akello,3.77,31
2254,Harriet,Akello,2.65,30
2243,Jennifer,Akello,1.31,45
165,Juliana,Akello,2.64,29
1226,Mary,Akello,3.57,26
3023,Mary,Akello,3.76,45
1521,Maximelia,Akello,1.23,20
502,Santina,Akello,2.92,44
115,Winnie,Akello,3.65,28
2235,Samuel,Akena,2.16,21
2160,Emmanuel,Akera,3.1,21
1913,Mary,Akinyi,3,27
1035,Janet,Akiteng,3.48,42
245,Andrew,Akol,3.62,43
1053,Panta,Akol,2.11,38
2226,Simon,Akol,2.03,26
1770,Suzan,Akol,3.79,42
2344,Fobiano,Akola,1.93,38
1246,Prisca,Akongo,1.64,40
2253,Joseph,Akora,1.41,36
60,Mazima,Akora,1.12,28
216,Nicholas,Akora,3.06,32
1020,Prosper,Akoramazima,1.97,23
209,Gloria,Akot,1.44,29
2066,Sharon,Akot,1.35,35
137,Joy,Akoth,3.2,21
3116,Innocent,Akullo,1.35,42
2097,Dorcas,Akulo,2.47,25
341,Hellen,Akumu,3.33,43
566,Brenda,Akurut,1.97,34
1775,Elizabeth,Akurut,1.52,30
2697,Eric,Akwarat,1.95,36
309,Hellen,Akwee,2.85,23
622,Sharon,Akwii,4,30
1112,Edith,Alaba,1.44,36
768,Stella,Alaba,1.37,34
1626,Sarah,Alayo,1.21,33
1902,Andrew,Alele,3.62,36
2076,Lydia,Alemo,1.52,21
1334,Trevor,Alenyo,1.93,31
1219,Moses,Aleper,3.86,23
1638,Cissy,Aleto,1.76,40
158,Godfrey,Aliat,4,32
3014,Stephen,Alidria,1.29,30
157,Geofrey,Aliga,1.33,43
1126,Simon,Aliganyira,2.55,43
803,Brenda,Aliguma,3.7,36
1070,Racheal,Alinaitwe,2.77,28
543,Robert,Alinaitwe,2.54,25
2019,Suzan,Alinaitwe,1.08,29
1092,Ivan,Alioni,3.57,37
2345,Gloria,Alitubeera,3.04,23
558,Beatrice,Alobo,1.52,31
304,Joy,Alobo,2.9,31
1540,Norah,Aloikin,2.93,30
475,Andrew,Aloka,3.66,31
1624,Mary,Aloka,1.19,23
303,Immaculate,Aloyo,1.2,36
263,Dorish,Alum,1.11,29
1143,Elizabeth,Alupo,1.28,25
406,Mary,Alupot,2.2,25
1938,Janet,Alupu,3.54,34
2010,Benard,Amabe,3.53,21
1683,Philiam,Amagu,2.5,40
2419,Aggrey,Amanya,2.73,29
1965,Asaph,Amanya,1.19,34
3001,Cleophas,Amanya,1.17,36
1156,Edward,Amanya,2.48,38
599,Esther,Amanya,3.87,28
273,Eunice,Amanya,1.72,41
720,Justus,Amanya,3.57,27
1297,Keneth,Amanya,2.92,20
2184,Kennedy,Amanya,1.11,26
1508,Fedinand,Amanyire,3.33,36
1252,Joshua,Amara,1.73,30
3156,Jerurina,Ambazimana,1.17,22
1080,Sarah,Amego,1.21,28
1743,Priscilla,Ameso,1.79,39
431,Vincent,Amet,3.05,29
1974,Mary,Amidiong,3.23,24
389,Pamella,Amito,3.11,24
310,Sarah,Amoding,1.07,44
3016,Tonny,Amodoi,1.84,30
1316,Mercy,Amoit,2.15,24
1312,Sharon,Amoit,1.72,29
820,Esther,Amonding,3.45,32
1988,Sarah,Amonding,2.39,38
2037,Juliet,Among,1.92,25
1058,Lydia,Amongin,2.54,40
2299,Polly,Amongin,3.18,42
608,Stella,Amongin,3.19,21
3012,Miriam,Amoni,3.85,25
1961,Caroline,Amoti,1.92,35
170,Amon,Ampaire,3.85,35
298,Rosebell,Ampeire,3.85,28
845,Miria,Ampereza,2.58,32
359,Talent,Ampiriire,2.12,45
2164,Deborah,Ampumuza,3.71,28
1446,Brian,Ampurira,3.11,43
925,David,Ampurire,1.75,36
943,Irene,Amuge,3.61,24
852,Susan,Amuge,1.8,36
2055,Emma,Amulen,3.03,25
3136,Esther,Amulen,2.42,24
1120,Florence,Amulen,3.37,29
600,Winfred,Amusugut,3.63,45
1791,Samuel,Amutuheire,1.65,26
1999,Nelson,Amwiine,2.76,41
728,Kokas,Anangu,1.75,43
175,Justine,Angella,2.44,26
1468,Anthony,Angesu,2.17,24
3169,Deborah,Angom,3.23,31
2274,Jillian,Angom,2.45,31
1904,Dorothy,Anguparu,2.11,36
28,Kevin,Angwech,3.41,23
3162,Chrigton,Anshumbusize,1.15,34
1127,Namutosi,Anyajo,2.45,32
626,Bibiana,Anyango,2.54,20
29,Colline,Anyango,2.98,41
15,Brian,Anyijukire,3.03,24
1951,Saul,Anyine,2.85,34
2016,Berry,Anziku,1.47,38
1643,Sira,Aogon,3.84,20
1056,Doreen,Apio,2.85,39
1613,Lydia,Apio,1.91,23
633,Sandra,Apio,1.45,25
288,Clara,Apolo,1.15,39
1220,Fiona,Apolot,1.3,22
1437,Joyce,Apolot,3.63,44
751,Lydia,Apolot,1.73,28
205,Mary,Apolot,1.4,37
507,Victoria,Apoya,3.98,29
793,Calvin,Apuriet,3.58,35
156,Martha,Apwono,3.52,29
2993,Aaron,Arac,1.29,21
1509,Francis,Ariaka,2.22,35
1668,Andrew,Arigye,3.96,32
1552,Anthony,Ariho,2.67,25
1606,Joshua,Ariho,3.3,32
838,Mathiaus,Ariho,3.3,21
2220,Evas,Arikiriza,1.02,25
1941,Ireene,Arikiriza,1.68,28
163,Jesca,Ariko,1.32,31
1587,John,Arikosi,2.92,22
1109,Nathan,Arimo,2.98,45
1706,Isaac,Arinaitwe,3.22,21
1191,Ivan,Arinaitwe,1.38,20
836,Osbert,Arinaitwe,3.95,34
1492,Sam,Arinaitwe,3.57,39
734,Wilson,Arinaitwe,2.84,45
1845,Anita,Arinanye,3.43,39
562,Hillary,Arinanye,3.48,42
1203,Vicent,Arinanye,2.76,25
1073,Denis,Arinda,1.51,26
1530,Elias,Arinda,1.64,22
2002,Gilbert,Arinda,2.43,34
1914,Emmanuel,Arineitwe,2.46,32
2280,Esther,Arineitwe,3.76,44
1819,Joab,Arineitwe,1.63,44
1176,Julius,Arineitwe,2.55,32
440,Samuel,Arineitwe,3.41,44
387,Shine,Arineitwe,1.96,41
238,Edwin,Arinitwe,2.84,35
579,Judith,Ariono,1.01,39
1046,Joseph,Arituha,2.15,39
296,Christopher,Aruho,1.48,40
227,Bernard,Aryabaho,1.85,29
1976,Ivan,Aryamanya,1.76,28
3120,Osbert,Aryamanya,2.2,39
1005,Patience,Aryamanya,1.59,25
577,Agatha,Aryamusiima,1.13,28
1221,Barnabas,Aryantunga,3.44,31
949,David,Aryanyijuka,1.48,23
80,Gedeon,Aryatunga,2.42,31
1629,Godfrey,Aryono,2.54,44
1008,Joan,Asale,3.86,20
1693,Gertrude,Asango,2.6,37
625,Abias,Asasira,1.19,32
879,Collins,Asasira,3.67,23
1585,Joshua,Asasira,1.01,37
1686,Gloria,Aseera,3.12,25
1730,Olive,Asekenye,1.31,27
1054,Janet,Aseku,1.5,42
1113,Esther,Asengo,2.78,35
632,Florence,Asero,2.14,22
1758,Scovia,Aseru,2.42,45
2173,Dennis,Ashaba,2.81,43
683,Dominic,Ashaba,2.17,42
1893,Patience,Ashaba,2.78,29
1479,Jolly,Ashanti,1.99,37
1060,Brian,Ashimwe,3.28,30
1964,Benjamin,Ashumbusha,3.31,35
462,Victor,Asiandu,2.24,41
1958,Catherine,Asianut,1.51,29
1218,Pidius,Asiima,2.69,20
977,Patience,Asiimire,1.76,38
1467,Thutcher,Asiimire,2.15,27
336,Aggrey,Asiimwe,2.8,38
709,Catherine,Asiimwe,3.19,22
798,Dechas,Asiimwe,2.59,30
2317,Gilbert,Asiimwe,3.02,31
1012,Godson,Asiimwe,3.9,29
2698,Ian,Asiimwe,1.05,40
1533,Immaculate,Asiimwe,3.34,34
456,Mariam,Asiimwe,3.28,40
1037,Medard,Asiimwe,1.37,33
388,Michael,Asiimwe,3.35,40
1491,Michael,Asiimwe,2.35,20
357,Phillip,Asiimwe,3.31,43
1808,Precious,Asiimwe,1.84,35
2356,Precious,Asiimwe,1.32,29
631,Robert,Asiimwe,2.98,31
526,Sharon,Asiimwe,1.63,35
574,Francis,Asiku,1.21,28
75,Ryn,Asimiire,3.54,29
2926,Moses,Asinai,1.76,40
551,Hamisi,Asingwire,1.17,38
1237,Handel,Asingwire,2.32,23
1490,Rabanson,Asingwire,1.49,37
2017,Caroline,Asio,2.66,25
848,Mary,Asio,2.11,32
193,Janet,Atai,3.68,42
1621,Ignatius,Atamba,1.32,27
1463,Mildred,Ataro,1.09,35
1880,Robert,Atayo,3.84,23
1283,Stewart,Ategeka,3.3,34
818,Vincent,Ategeka,1.47,37
841,Hellen,Athieno,2.57,22
38,Paul,Atikoro,1.73,29
2134,Deborah,Atim,2.59,40
907,Gloria,Atim,3.79,28
1813,Monica,Atim,3.83,20
561,Wilfred,Atim,2.26,44
1618,Winfred,Atim,2.2,38
578,Sunday,Atine,3.35,37
64,Kevin,Atino,3.32,44
1853,Janet,Atono,2.87,20
3017,Florence,Atto,3.74,28
617,Scovia,Atubangira,2,41
883,Elijah,Atubiikiire,1.13,33
667,Daphine,Atuhaire,3.57,32
2165,Kenneth,Atuhaire,3.81,37
684,Miria,Atuhaire,1.66,25
536,Peace,Atuhaire,1.72,38
936,Pius,Atuhaire,2.26,37
98,Brenda,Atuhairwe,1.51,37
1807,Mackline,Atuheire,2.5,20
590,Noah,Atuheire,1.67,37
3150,Rogers,Atuhirwe,3.91,31
1265,Joshua,Atuhwere,2.79,44
964,Jonani,Atukunda,2.65,36
1149,Julius,Atukwase,1.84,25
1238,Rebecca,Atukwatse,3.82,42
382,Tryphine,Atukwatse,1.93,22
1691,Eveshillah,Aturinda,3.99,25
2174,Godwin,Aturinda,2.76,32
584,Bridget,Atwiine,2.42,21
2208,Gerald,Atwiine,2.44,40
1249,Silver,Atwijuka,1.94,21
1759,Criton,Atwijukire,3.28,38
1763,Peter,Atwine,1.02,38
704,Vicent,Atwizukire,1.46,33
1664,Vicky,Atworo,3.81,33
1717,Aron,Atyang,1.85,31
2151,Pasca,Atyang,1.7,44
461,Eria,Auk,1.37,23
232,Catherine,Auma,3.69,36
1692,Doreen,Auma,2.84,22
2081,Pamela,Auma,1.46,23
1214,Sandra,Auma,3.55,26
1901,Hellen,Aurien,1.44,45
1967,Daisy,Avur,1.17,25
104,Sadat,Awerimo,3.91,23
1225,Ezekiel,Awio,2.96,39
1298,Gorretti,Awor,2.81,31
52,Jane,Awor,3.65,28
2222,Doreen,Awori,2.18,26
777,Alma,Ayaa,1.89,30
2255,Godfrey,Ayago,2.56,31
1986,Sheba,Ayaro,1.63,38
1414,Joshua,Ayebale,3.87,29
724,Elisa,Ayebare,3.49,43
2331,Daniel,Ayebare,2.25,41
1110,Moses,Ayebare,2.48,42
1640,Rosemary,Ayebare,3.06,38
572,Sharon,Ayebare,3.06,30
2369,Caroline,Ayebazibwe,1.64,45
434,Ezra,Ayebazibwe,1.82,44
1685,Girivazio,Ayebazibwe,1.44,42
1949,Innocent,Ayebazibwe,3.46,31
1121,Pius,Ayebazibwe,2.29,40
1899,Annita,Ayesiga,1.67,27
1464,Edigar,Ayesiga,2.94,32
1812,Justus,Ayesiga,1.27,41
1879,Sam,Ayesiga,3.99,36
1106,Jordan,Ayesigye,3.62,20
2177,Jordan,Ayesigye,3.32,33
1939,Fred,Ayikobua,1.48,21
478,Gladys,Ayikoru,1.17,33
1213,Harriet,Ayikoru,2.24,39
1439,Deogracius,Ayile,3.6,44
1649,Nellet,Ayinembabazi,1.33,39
3151,Caroline,Ayumo,3.49,32
2083,Michael,Azoora,3.6,42
2687,Meridah,Babindetera,1.43,36
1482,Esther,Babirye,1.34,39
182,Racheal,Babirye,2.61,29
1185,Denis,Babu,3.17,37
746,Martha,Babweyonera,3.79,42
1305,Samuel,Babwirana,3.39,30
108,Arisi,Badara,3.78,21
459,Doreen,Badaru,2.03,34
155,Innocent,Bagambe,2.72,30
2315,Amos,Baguma,1.64,24
1757,Jackson,Baguma,3.38,38
2088,Richard,Baguma,3.13,43
739,Grant,Bahati,3.49,24
854,Regina,Baidhi,2.74,22
1217,Bruno,Baine,2.22,33
1771,Omega,Baingana,3.88,28
1292,Paul,Bainomugisha,2.51,34
2162,Yoram,Bainomugisha,1.99,22
1553,Christopher,Bakahahwenki,2.96,22
623,Frank,Bakama,2.92,43
1581,Vico,Bakanamwike,3.88,44
463,Sharon,Bakarweha,2.99,41
2241,Collins,Bakashaba,2.5,22
1888,Wilber,Bakashaba,2.22,39
1876,Toskin,Bakasumba,1.04,24
2335,Kellen,Bakiehahwenki,3.35,34
682,Abraham,Bakwatanisa,1.75,33
1410,Fred,Balaba,1.29,37
850,Isaac,Balayo,3.35,34
3173,Noel,Balidawa,3.23,29
1136,Joackim,Balimwa,2.72,29
1711,Ivan,Balitan,2.17,32
1257,Maxwell,Balmoi,3.81,25
490,Godfrey,Balugambire,3.34,40
2140,Bruce,Baluku,2.54,29
1862,Hussen,Baluku,2.42,43
941,Harriet,Balungi,2.42,21
299,Octovius,Baluwe,3.09,27
203,Stephen,Balyebuga,2.82,31
1190,Faith,Bamudhubira,3.88,41
1006,Hanington,Bamukoka,1.33,27
1854,Joyce,Bamuleke,1.7,41
342,Kolebu,Bamulubye,1.87,37
756,Anthony,Bamuteeze,1.68,29
2219,Wairata,Bamwine,1.72,35
1030,Samuel,Bamwite,1.14,32
2057,Tom,Bangi,1.56,31
13,Gloria,Banura,2.52,31
1635,Eliezer,Barekye,2.62,20
1192,Alex,Barigye,3.91,40
1408,Emmanuel,Barigye,1.69,45
2403,John,Barigye,3.03,23
1864,Ronald,Barigye,2.61,32
1709,Akiisa,Barimu,3.14,28
354,Fred,Baryamwijuka,1,28
1230,Moses,Baryeija,3.37,30
466,James,Basaalidde,2.13,42
1568,Robert,Basalirwa,3.84,40
1597,Sam,Bashija,2.31,23
1466,Precious,Basiima,2.6,21
1874,Brian,Basiimamukama,2.78,29
325,Isima,Basingule,3.56,43
2359,Emmauel,Bataringaya,3.03,41
301,Ronald,Batumbya,1.13,42
1650,James,Bazira,1.65,43
365,Julius,Bazira,1.93,43
991,Reagan,Begumya,1.46,34
2159,Daniel,Beineburyo,3.09,26
1894,Charity,Berocan,1.89,32
266,Gloria,Berocan,2.01,44
759,Bright,Besigye,3.9,45
1212,Derrick,Besigye,1.89,25
1800,Yakobo,Besisira,1.97,36
554,Daniel,Beyanga,3.26,26
571,Mujuni,Bhahinde,2.52,45
849,Venita,Bichani,1.09,32
580,Cliver,Bigabwa,1.08,45
282,Oscar,Bigirwenkya,3.23,37
59,Joeline,Biira,2.96,30
2122,Geofrey,Bikuye,2.02,31
1785,Nicodfemus,Bimenyimana,3.11,37
681,Godfrey,Binaisa,1.88,30
1429,Richard,Bindisibyolho,1.7,26
2334,Denis,Biraaro,1.24,25
1031,Patience,Birike,3.03,29
865,Jean,Birungi,3.28,30
976,Ruth,Birungyi,2.63,30
987,Ramson,Biryomumisho,1.1,25
2360,Anita,Bisikwa,3.4,43
1726,Gerald,Bitumbya,1.45,39
517,Abel,Bizimana,3.01,37
3170,Jackson,Bizimana,2.34,36
2080,Kizito,Bodo,1.34,32
664,Samuel,Bogere,1.52,41
2275,Caleb,Bomet,2.96,35
1269,Pius,Bonani,2.44,20
1647,Claude,Bonemeu,2.41,23
743,Bonita,Bongyereirwe,3.06,27
283,Knight,Bonifaceo,1.31,23
2256,Lonah,Bonsuku,3.42,41
334,Charles,Bonyo,3.68,20
3043,Eric,Bonyo,2.49,31
804,Innocent,Bright,3.93,29
1838,Micheal,Bright,3.89,36
2000,Emmanuel,Bua,1.93,20
1304,Gertrude,Bugoosi,3.3,24
1155,Ephraim,Buhamba,2.92,33
51,Kennedy,Buhamizo,2.04,44
1802,Ronald,Buhamizo,1.54,43
1472,Edrine,Bukenya,3.22,30
3118,Samuel,Buluma,2.77,43
177,Wilfred,Bushendich,1.08,32
1787,Ambrose,Busindo,1.33,20
2099,Collin,Businge,3.08,31
1000,Oscar,Businge,2,25
2228,Ronald,Businge,1.27,24
2831,Angella,Busingye,2.64,40
55,Emmanuel,Bussaja,1.28,24
3187,Timonah,Butele,1.44,37
252,Simon,Butita,2.25,28
1652,Micheal,Buwande,1.85,24
1019,Daniel,Buyinza,1.15,23
2125,Jegreat,Bwambale,1.1,45
3054,Moris,Bwambale,2.72,34
2368,Samuel,Bwambale,1.06,33
1263,Geofrey,Bwamiki,1.51,23
538,Emmanuel,Bwayo,3.55,39
717,Neema,Bwesigye,3.47,43
1133,Francis,Bwire,3.29,45
887,Joram,Byabazaire,1.57,37
2277,Barnabas,Byakagaba,2.81,20
2234,Christopher,Byamugisha,1.9,43
2204,Henry,Byamukama,3.9,26
843,Julius,Byamukama,2.08,21
524,Nathan,Byamukama,2.71,40
1083,Paddy,Byamukama,2.23,39
1827,Ronard,Byamukama,2.24,24
1140,Abel,Byanga,2.02,32
381,Phillip,Byansi,1.39,31
168,Brian,Byaruhanga,2.97,24
1915,Nobert,Byaruhanga,2.96,33
3073,James,Byiringiro,2.4,28
2328,Denis,Cankare,2.5,33
2,Michael,Canpala,3.63,31
45,Topister,Chakuwa,1.66,38
1591,Gloria,Chalimpa,2.34,44
910,Judith,Chandiru,2.3,33
642,Clare,Chebet,2.18,32
549,Lubiana,Chebet,3.03,22
420,Reima,Chebet,2.26,20
884,Sharon,Chebet,2.59,29
2366,Esther,Chebita,2.22,32
1794,Scovia,Chekakwecha,2.22,45
1093,Gilbert,Chekwech,1.84,34
2333,Philis,Chekwemboi,3.61,36
3164,Alex,Chelangat,2.46,42
275,Dewos,Chelangat,2.43,39
2121,Nelly,Chelangat,1.4,25
915,Tabitha,Chelangat,1.97,38
1180,Doreen,Chelimo,2.47,43
913,Lucky,Chelimo,2.75,39
44,George,Chelogoi,2.87,29
990,Ivan,Chemonges,3.92,42
480,Levi,Chemonges,1.72,45
3058,Rashid,Chemonges,3.23,25
1655,Robert,Chemonges,3.58,33
535,Yasin,Chemonges,3.28,22
1933,Esther,Chemusto,3.72,38
1952,Nelson,Chemusto,3.83,21
1684,Tom,Chemusto,1.69,35
333,Tonny,Chemusto,1.18,29
761,Aggrey,Chemutai,2.87,30
450,Esther,Chemutai,2.79,30
1633,Eunice,Chemutai,2.39,33
1989,Hilda,Chemutai,2.46,44
1040,Sharon,Chemutai,3.93,25
1970,Jospart,Chepkwurui,1.41,41
1922,Nelson,Chepkwurui,1.63,45
786,Victor,Chepsikor,1.76,26
2357,Louis,Cheptoek,3.24,26
2248,Sam,Cheptoek,1.94,27
2110,Victor,Cheptoek,1.55,36
2286,Eric,Cheptoris,1.22,23
300,Rachel,Cherop,1.62,43
1284,Sedric,Cherop,3.29,20
1783,Vitallis,Cherop,3.2,34
3157,Walter,Cherop,1.54,36
2300,Doreen,Cherukut,1.22,40
1582,Martin,Cherukut,1.19,36
146,Pricilla,Chesamiy,1.64,30
821,Leonard,Chesuro,2.1,35
2072,Edimond,Chothembo,1.14,35
1118,Rebecca,Cyizanye,2.05,32
1151,Benjamin,Dhatemwa,1.25,34
355,Bakit,Dogo,1.82,36
2989,Emmanuel,Dondole,3.59,40
1778,Julius,Dongo,1.95,29
295,Isaac,Doya,1.39,44
2095,Emmanuel,Drabe,1.07,27
2123,Job,Draku,3.1,45
1857,Eugine,Droti,1.76,30
2120,Charles,Duhimbaze,3.4,39
1123,Gerald,Duhimbaze,2.05,35
183,Issa,Dumba,2.39,43
184,Julius,Dumba,2.5,42
1671,Emmaculate,Dusabe,1.59,43
1182,Josephine,Dushiime,3.05,34
2119,Phionah,Dushime,1.66,23
139,Gloria,Dushimimana,3.68,22
116,Dan,Dyatumi,1.1,43
1417,Abel,Dyogo,2.3,36
2364,Moses,Ebamu,3.34,30
827,Samuel,Ebanyu,1.38,43
892,Gabriel,Ebu,3.43,22
1082,Edward,Echeku,1.53,29
1765,Alex,Ecir,1.73,35
231,James,Ecodu,3.1,26
2250,John,Edalu,2.76,44
770,Emmanuel,Edeku,2.6,45
197,Johnson,Edelu,1.88,23
1925,Haman,Edhaaya,3.6,38
2287,Ronald,Edii,3.89,35
2054,James,Eduki,2.27,32
8,Edgar,Efiyo,1.89,33
903,Paul,Egari,3.54,35
1981,Eriazali,Egessa,1.77,43
160,Julius,Egolet,2.77,31
286,Joseph,Egwaru,2.08,35
1172,Emmanuel,Eiku,2.74,35
825,Justine,Eilu,3.19,32
237,Colline,Ejang,3.58,26
1560,James,Ejibu,1.52,40
989,John,Ejomu,1.5,28
95,Gabriel,Ejoru,3.86,20
2144,Brian,Ekaalet,1.88,40
1954,Peter,Ekabu,2.66,26
2237,Abraham,Ekadu,3.68,29
1504,Gerald,Ekadu,3.38,39
586,Justine,Ekanya,3.77,44
708,Joel,Ekaun,2.42,21
1773,Vincent,Ekituno,1.1,41
